lat,lon,time
58.27,-103.35000000000002,53652.715840004385
66.14,-71.02999999999997,65534.84019000316
57.89,-156.4,173612.40614000708
49.23,32.83,304414.600180008
50.85,30.48,304441.0775600001
44.42,-110.34,649719.967110001
11.78,-85.72000000000003,722917.914240004
46.81,-87.01999999999998,729217.5879799994
59.66,-154.77,855118.6115000048
37.68,31.56,871124.2613699986
42.43,-86.88999999999999,984725.8590299985
44.98,-81.89999999999998,1155212.5528300065
-6.44,29.95,1935515.7616200042
-41.1,-72.32999999999998,2220116.1850100034
-0.69,33.56,2489211.141350004
