lat,lon,time
-0.69,33.56,10218.86679995805
49.23,32.83,17937.11142614484
50.85,30.48,18040.120986290276
44.98,-81.89999999999998,44851.63400415331
66.14,-71.02999999999997,52274.185535963625
64.89,-71.16000000000003,52407.582524232566
57.89,-156.4,65368.64901194349
59.66,-154.77,65512.31041923165
49.74,-88.47000000000003,73604.84818415716
42.43,-86.88999999999999,80259.35678323731
37.68,31.56,105577.43662502617
11.78,-85.72000000000003,125046.4276690036
64.17,-95.48000000000002,139777.3305810988
-6.44,29.95,141865.4085402377
62.92,-101.37,146673.43400837854
58.27,-103.35000000000002,146809.58541529253
49.05,-95.0,160848.66522299126
46.81,-87.01999999999998,220341.66936110705
44.42,-110.34,255570.87350124493
