lat,lon,time
-0.69,33.56,43322.04065800033
1.49,32.78,43928.34318799942
-0.8125,36.3375,44425.15173100037
-1.6791667,33.445835,44959.71197000108
60.0375,-162.4625,58214.90878199984
58.45,38.53,115753.44192800003
58.029167,38.395832,116079.23512100024
37.28,45.47,121837.10020800027
33.89,43.39,122274.98978800031
36.620834,42.929165,122683.13407000096
26.579166,-99.17917,205207.09752199944
54.77,-94.01999999999998,235088.54308000082
49.74,-88.47000000000003,235563.09419100033
48.745834,-88.520836,236069.9104030009
44.98,-81.89999999999998,236451.65111200005
44.470833,-81.42083,236912.5945220003
51.420834,136.50417,269162.16933400027
47.754166,16.729166,467996.07768399984
55.42,-114.93,472642.32529199944
55.320835,-114.84583,472952.2109930003
65.9,-120.19999999999999,490402.47074000037
63.204166,-117.34583,490895.2062419994
63.845833,-121.80417,491199.65354300075
47.5875,42.320835,632837.3962700007
40.03,50.87,633155.1478750007
52.76,5.32,699940.6924529994
-30.57,-62.80000000000001,704305.4127539999
-30.9375,-62.8625,704621.443254
43.59,-77.44999999999999,746423.9904669994
30.64,81.27,798058.1452749993
30.595833,81.45417,798400.9956749997
12.99,14.39,815257.4534209998
54.39,127.67,841883.0776550003
54.604168,128.00417,842190.5466540011
41.41,53.67,1058989.0321130005
42.04,57.36,1059319.2758170008
40.629166,53.8125,1059644.1030210007
41.570835,57.329166,1059951.8258250009
54.71,-107.33000000000001,1069113.1637790003
54.420834,-107.45417,1069413.0416799998
33.370834,89.92083,1102831.933470001
48.22,43.09,1143934.0763550007
50.2625,46.295834,1144253.5794630002
52.0625,47.779167,1144545.5643700007
31.03,87.15,1223850.5100319998
30.2375,86.42083,1224202.7692320007
30.3125,86.45417,1224521.7131320005
62.92,-101.37,1239656.0648159992
57.24,-98.38999999999999,1239989.4030129998
58.27,-103.35000000000002,1240469.333809
53.78,-75.5,1427912.8597929995
-33.36,-53.0,1435090.938276
-34.0875,-53.679165,1435433.0032750005
52.05,136.68,1438333.9712689994
49.23,32.83,1460923.7621829999
50.85,30.48,1461311.7789839997
61.52,35.55,1478568.206979
63.179165,33.770832,1478916.2959780006
58.7,56.11,1479361.471278
-16.845833,28.2125,1539346.1563620004
34.529167,-4.9875,1551584.8167290005
46.58,81.13,1649516.955610001
45.879166,81.8375,1649964.2650099995
43.729168,77.870834,1650411.1703100007
41.8375,86.7625,1820013.2136400007
46.81,-87.01999999999998,1830027.8246230008
44.05,-88.39999999999998,1830615.741722
45.8125,-87.02917,1831235.4341200008
43.204166,-87.870834,1831846.9988190008
58.58,27.49,1892876.1670849998
60.94,31.61,1893307.0856850008
61.19,28.61,1893748.9438850007
57.8625,27.9625,1894095.6746850007
59.945835,31.504168,1894613.3531859997
61.170834,28.445833,1895110.637586
7.37,-62.879999999999995,1945524.495349
54.97,78.58,1990076.109515001
54.8625,77.72083,1990406.3501159998
59.66,-154.77,2041119.3239149998
64.33,27.31,2080692.9354029999
64.27917,27.279167,2081156.202702001
54.09,48.76,2142688.633244001
53.120834,48.520832,2143217.8543400005
46.8625,87.3875,2160747.561456001
42.43,-86.88999999999999,2170691.376938001
33.095833,-115.7125,2212069.470856
64.17,-95.48000000000002,2267957.7276680013
64.76,-97.60000000000002,2268417.915065
66.14,-71.02999999999997,2273787.808843001
64.89,-71.16000000000003,2274322.675542
48.1125,83.67083,2331123.780037
23.29,32.85,2348460.536319
54.079166,81.40417,2501223.62051
