lat,lon,time
50.79,-98.57999999999998,51197.983218000445
51.93,-99.98000000000002,52050.79360400123
50.245834,-98.1625,52428.35719800132
51.129166,-99.7625,52840.60229200077
51.870834,-104.27917,53232.40668499966
65.9,-120.19999999999999,62726.80539400062
63.204166,-117.34583,63227.983486000085
63.845833,-121.80417,63706.71057800064
64.17,-95.48000000000002,68894.98849400115
64.76,-97.60000000000002,69206.38218900058
59.66,-154.77,85810.73268300133
46.8625,87.3875,120243.2877780011
-15.4375,35.6625,265714.88259200123
34.92,97.74,375932.18898099987
21.204166,73.7125,431046.63680200063
48.22,43.09,527934.7214870013
50.2625,46.295834,528252.7366880004
52.0625,47.779167,528569.6795889998
58.45,38.53,533942.5366040014
58.029167,38.395832,534267.4447050013
54.079166,81.40417,545925.3122460013
43.59,-77.44999999999999,811919.7250329999
-9.02,28.64,825488.8147950005
-9.5125,28.404167,825829.266494
61.52,35.55,892456.6638830001
63.179165,33.770832,892903.522486
55.12,91.77,1142473.7720250015
54.245834,91.42917,1142895.393431001
-7.74,31.94,1166249.383245
-10.87,34.41,1166579.868148001
-8.454166,32.620834,1166896.841850001
-11.8625,34.295834,1167202.2978530005
7.37,-62.879999999999995,1231634.212926001
59.13,-110.12,1272966.52781
61.51,-114.91,1273286.142608
58.629166,-110.4375,1273666.0168050001
58.329166,-112.07083,1274057.6990030003
59.18,13.64,1329673.2529710007
58.495834,13.2375,1330011.2551700003
56.479168,8.670834,1330355.971369001
51.32,100.5,1398118.8139940004
64.33,27.31,1409125.5854660012
64.27917,27.279167,1409476.9216630012
44.42,-110.34,1534450.8421650007
44.5375,-110.3125,1534886.6242639998
41.954166,-111.29583,1535271.2103640006
30.6625,47.4625,1671288.405815001
55.42,-114.93,1704684.3176830006
55.320835,-114.84583,1704989.7809840003
46.58,81.13,1715083.178776
45.879166,81.8375,1715412.9603750007
43.729168,77.870834,1715726.9159740007
-7.04,35.83,1762775.3894050003
-3.7708333,37.445835,1763104.1038069997
60.0375,-162.4625,1777876.6776520007
66.14,-71.02999999999997,1846128.6509070015
64.89,-71.16000000000003,1846593.2311060005
52.76,5.32,1846926.6761050003
62.92,-101.37,1954524.747732001
57.24,-98.38999999999999,1955230.294332001
58.27,-103.35000000000002,1955566.5655320007
54.39,127.67,2073915.2825110015
54.604168,128.00417,2074265.9856099999
51.420834,136.50417,2074646.5430099997
54.71,-107.33000000000001,2215834.5060580014
54.420834,-107.45417,2216166.301758001
41.8375,86.7625,2481669.9320420013
