POINTING OPTIONS COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 1.0
Mission Duration [Days] is 1.0
time index,pnt-opt index,lat [deg],lon [deg]
0,0,0.0,259.878
1,0,-0.049,259.896
2,0,-0.097,259.913
3,0,-0.146,259.93
4,0,-0.195,259.948
5,0,-0.243,259.965
6,0,-0.292,259.982
7,0,-0.341,260.0
8,0,-0.389,260.017
9,0,-0.438,260.035
10,0,-0.487,260.052
11,0,-0.535,260.069
12,0,-0.584,260.087
13,0,-0.633,260.104
14,0,-0.682,260.122
15,0,-0.73,260.139
16,0,-0.779,260.156
17,0,-0.828,260.174
18,0,-0.876,260.191
19,0,-0.925,260.209
20,0,-0.974,260.226
21,0,-1.022,260.243
22,0,-1.071,260.261
23,0,-1.12,260.278
24,0,-1.168,260.296
25,0,-1.217,260.313
26,0,-1.266,260.33
27,0,-1.314,260.348
28,0,-1.363,260.365
29,0,-1.412,260.383
30,0,-1.46,260.4
31,0,-1.509,260.417
32,0,-1.558,260.435
33,0,-1.606,260.452
34,0,-1.655,260.47
35,0,-1.704,260.487
36,0,-1.752,260.504
37,0,-1.801,260.522
38,0,-1.85,260.539
39,0,-1.898,260.557
40,0,-1.947,260.574
41,0,-1.996,260.591
42,0,-2.044,260.609
43,0,-2.093,260.626
44,0,-2.142,260.644
45,0,-2.191,260.661
46,0,-2.239,260.678
47,0,-2.288,260.696
48,0,-2.337,260.713
49,0,-2.385,260.731
50,0,-2.434,260.748
51,0,-2.483,260.766
52,0,-2.531,260.783
53,0,-2.58,260.8
54,0,-2.629,260.818
55,0,-2.677,260.835
56,0,-2.726,260.853
57,0,-2.775,260.87
58,0,-2.823,260.888
59,0,-2.872,260.905
60,0,-2.921,260.922
61,0,-2.969,260.94
62,0,-3.018,260.957
63,0,-3.067,260.975
64,0,-3.115,260.992
65,0,-3.164,261.01
66,0,-3.213,261.027
67,0,-3.261,261.045
68,0,-3.31,261.062
69,0,-3.359,261.08
70,0,-3.407,261.097
71,0,-3.456,261.114
72,0,-3.505,261.132
73,0,-3.553,261.149
74,0,-3.602,261.167
75,0,-3.651,261.184
76,0,-3.699,261.202
77,0,-3.748,261.219
78,0,-3.797,261.237
79,0,-3.845,261.254
80,0,-3.894,261.272
81,0,-3.942,261.289
82,0,-3.991,261.307
83,0,-4.04,261.324
84,0,-4.088,261.342
85,0,-4.137,261.359
86,0,-4.186,261.377
87,0,-4.234,261.394
88,0,-4.283,261.412
89,0,-4.332,261.429
90,0,-4.38,261.447
91,0,-4.429,261.464
92,0,-4.478,261.482
93,0,-4.526,261.499
94,0,-4.575,261.517
95,0,-4.624,261.534
96,0,-4.672,261.552
97,0,-4.721,261.569
98,0,-4.77,261.587
99,0,-4.818,261.604
100,0,-4.867,261.622
101,0,-4.916,261.64
102,0,-4.964,261.657
103,0,-5.013,261.675
104,0,-5.061,261.692
105,0,-5.11,261.71
106,0,-5.159,261.727
107,0,-5.207,261.745
108,0,-5.256,261.762
109,0,-5.305,261.78
110,0,-5.353,261.798
111,0,-5.402,261.815
112,0,-5.451,261.833
113,0,-5.499,261.85
114,0,-5.548,261.868
115,0,-5.596,261.886
116,0,-5.645,261.903
117,0,-5.694,261.921
118,0,-5.742,261.938
119,0,-5.791,261.956
120,0,-5.84,261.974
121,0,-5.888,261.991
122,0,-5.937,262.009
123,0,-5.986,262.026
124,0,-6.034,262.044
125,0,-6.083,262.062
126,0,-6.131,262.079
127,0,-6.18,262.097
128,0,-6.229,262.115
129,0,-6.277,262.132
130,0,-6.326,262.15
131,0,-6.375,262.168
132,0,-6.423,262.185
133,0,-6.472,262.203
134,0,-6.52,262.221
135,0,-6.569,262.238
136,0,-6.618,262.256
137,0,-6.666,262.274
138,0,-6.715,262.291
139,0,-6.763,262.309
140,0,-6.812,262.327
141,0,-6.861,262.344
142,0,-6.909,262.362
143,0,-6.958,262.38
144,0,-7.007,262.397
145,0,-7.055,262.415
146,0,-7.104,262.433
147,0,-7.152,262.451
148,0,-7.201,262.468
149,0,-7.25,262.486
150,0,-7.298,262.504
151,0,-7.347,262.522
152,0,-7.395,262.539
153,0,-7.444,262.557
154,0,-7.493,262.575
155,0,-7.541,262.593
156,0,-7.59,262.61
157,0,-7.638,262.628
158,0,-7.687,262.646
159,0,-7.736,262.664
160,0,-7.784,262.681
161,0,-7.833,262.699
162,0,-7.881,262.717
163,0,-7.93,262.735
164,0,-7.979,262.753
165,0,-8.027,262.77
166,0,-8.076,262.788
167,0,-8.124,262.806
168,0,-8.173,262.824
169,0,-8.221,262.842
170,0,-8.27,262.86
171,0,-8.319,262.877
172,0,-8.367,262.895
173,0,-8.416,262.913
174,0,-8.464,262.931
175,0,-8.513,262.949
176,0,-8.561,262.967
177,0,-8.61,262.985
178,0,-8.659,263.003
179,0,-8.707,263.02
180,0,-8.756,263.038
181,0,-8.804,263.056
182,0,-8.853,263.074
183,0,-8.901,263.092
184,0,-8.95,263.11
185,0,-8.999,263.128
186,0,-9.047,263.146
187,0,-9.096,263.164
188,0,-9.144,263.182
189,0,-9.193,263.2
190,0,-9.241,263.218
191,0,-9.29,263.236
192,0,-9.338,263.254
193,0,-9.387,263.271
194,0,-9.436,263.289
195,0,-9.484,263.307
196,0,-9.533,263.325
197,0,-9.581,263.343
198,0,-9.63,263.361
199,0,-9.678,263.379
200,0,-9.727,263.397
201,0,-9.775,263.416
202,0,-9.824,263.434
203,0,-9.872,263.452
204,0,-9.921,263.47
205,0,-9.97,263.488
206,0,-10.018,263.506
207,0,-10.067,263.524
208,0,-10.115,263.542
209,0,-10.164,263.56
210,0,-10.212,263.578
211,0,-10.261,263.596
212,0,-10.309,263.614
213,0,-10.358,263.632
214,0,-10.406,263.65
215,0,-10.455,263.669
216,0,-10.503,263.687
217,0,-10.552,263.705
218,0,-10.6,263.723
219,0,-10.649,263.741
220,0,-10.697,263.759
221,0,-10.746,263.777
222,0,-10.794,263.796
223,0,-10.843,263.814
224,0,-10.891,263.832
225,0,-10.94,263.85
226,0,-10.988,263.868
227,0,-11.037,263.887
228,0,-11.085,263.905
229,0,-11.134,263.923
230,0,-11.182,263.941
231,0,-11.231,263.959
232,0,-11.279,263.978
233,0,-11.328,263.996
234,0,-11.376,264.014
235,0,-11.425,264.032
236,0,-11.473,264.051
237,0,-11.522,264.069
238,0,-11.57,264.087
239,0,-11.619,264.106
240,0,-11.667,264.124
241,0,-11.716,264.142
242,0,-11.764,264.161
243,0,-11.813,264.179
244,0,-11.861,264.197
245,0,-11.91,264.216
246,0,-11.958,264.234
247,0,-12.007,264.252
248,0,-12.055,264.271
249,0,-12.104,264.289
250,0,-12.152,264.307
251,0,-12.2,264.326
252,0,-12.249,264.344
253,0,-12.297,264.363
254,0,-12.346,264.381
255,0,-12.394,264.399
256,0,-12.443,264.418
257,0,-12.491,264.436
258,0,-12.54,264.455
259,0,-12.588,264.473
260,0,-12.636,264.492
261,0,-12.685,264.51
262,0,-12.733,264.529
263,0,-12.782,264.547
264,0,-12.83,264.566
265,0,-12.879,264.584
266,0,-12.927,264.603
267,0,-12.976,264.621
268,0,-13.024,264.64
269,0,-13.072,264.658
270,0,-13.121,264.677
271,0,-13.169,264.695
272,0,-13.218,264.714
273,0,-13.266,264.733
274,0,-13.314,264.751
275,0,-13.363,264.77
276,0,-13.411,264.788
277,0,-13.46,264.807
278,0,-13.508,264.826
279,0,-13.557,264.844
280,0,-13.605,264.863
281,0,-13.653,264.882
282,0,-13.702,264.9
283,0,-13.75,264.919
284,0,-13.799,264.938
285,0,-13.847,264.956
286,0,-13.895,264.975
287,0,-13.944,264.994
288,0,-13.992,265.012
289,0,-14.04,265.031
290,0,-14.089,265.05
291,0,-14.137,265.069
292,0,-14.186,265.087
293,0,-14.234,265.106
294,0,-14.282,265.125
295,0,-14.331,265.144
296,0,-14.379,265.163
297,0,-14.427,265.181
298,0,-14.476,265.2
299,0,-14.524,265.219
300,0,-14.573,265.238
301,0,-14.621,265.257
302,0,-14.669,265.276
303,0,-14.718,265.294
304,0,-14.766,265.313
305,0,-14.814,265.332
306,0,-14.863,265.351
307,0,-14.911,265.37
308,0,-14.959,265.389
309,0,-15.008,265.408
310,0,-15.056,265.427
311,0,-15.104,265.446
312,0,-15.153,265.465
313,0,-15.201,265.484
314,0,-15.249,265.503
315,0,-15.298,265.522
316,0,-15.346,265.541
317,0,-15.394,265.56
318,0,-15.443,265.579
319,0,-15.491,265.598
320,0,-15.539,265.617
321,0,-15.588,265.636
322,0,-15.636,265.655
323,0,-15.684,265.674
324,0,-15.733,265.693
325,0,-15.781,265.712
